N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,
1,삼성전자,"59,000",0,0.00%,100,"3,522,172","5,969,783",55.95,"10,822,931",18.83,8.69,
2,SK하이닉스,"81,000",0,0.00%,"5,000","589,682","728,002",47.71,"2,105,397",37.83,4.25,
3,삼성바이오로직스,"824,000","19,000",-2.25%,"2,500","545,200","66,165",10.33,"236,304",158.74,4.77,
4,LG화학,"754,000","13,000",+1.75%,"5,000","532,266","70,592",36.93,"523,554",421.70,1.84,
5,NAVER,"306,500","1,500",+0.49%,100,"503,467","164,263",55.41,"885,240",79.14,10.56,
6,셀트리온,"316,500","14,500",+4.80%,"1,000","427,083","134,939",21.15,"1,197,796",125.89,11.19,
7,삼성전자우,"50,700",0,0.00%,100,"417,204","822,887",88.14,"969,137",16.18,N/A,
8,현대차,"170,500","1,500",-0.87%,"5,000","364,304","213,668",32.99,"2,495,905",18.07,4.32,
9,삼성SDI,"477,500","2,000",+0.42%,"5,000","328,351","68,765",41.82,"391,524",113.23,2.94,
10,카카오,"361,500","7,500",+2.12%,500,"318,171","88,014",32.31,"740,366",-122.05,-5.81,
11,LG생활건강,"1,559,000","11,000",+0.71%,"5,000","243,488","15,618",45.25,"21,812",35.18,20.32,
12,삼성물산,"127,500","8,000",+6.69%,100,"238,281","186,887",14.57,"2,426,147",21.72,4.77,
13,현대모비스,"231,500","2,000",+0.87%,"5,000","220,052","95,055",44.27,"707,564",10.25,7.28,
14,SK텔레콤,"246,000","4,500",+1.86%,500,"198,634","80,746",34.52,"529,923",24.22,3.92,
15,엔씨소프트,"901,000","51,000",+6.00%,500,"197,806","21,954",50.15,"264,189",41.25,14.72,
16,기아차,"45,100",150,-0.33%,"5,000","182,819","405,363",39.03,"1,186,810",12.66,6.50,
17,POSCO,"208,500",0,0.00%,"5,000","181,785","87,187",52.77,"178,700",12.21,4.18,
18,SK이노베이션,"185,000","2,500",+1.37%,"5,000","171,061","92,466",24.11,"623,492",-9.69,-0.20,
19,KB금융,"40,850",500,+1.24%,"5,000","169,858","415,808",65.16,"2,352,679",5.34,8.92,
20,SK,"240,000",0,0.00%,200,"168,865","70,360",22.34,"164,937",245.15,4.31,
21,신한지주,"33,800",0,0.00%,"5,000","161,360","477,397",63.02,"1,930,788",4.86,9.09,
22,LG,"90,900","2,300",+2.60%,"5,000","156,854","172,557",34.92,"412,421",13.11,5.87,
